work_key,subject
OL14920191W,"Fiction, romance, fantasy"
OL14920191W,Romance - Contemporary
OL14920191W,Fiction / General
OL14920191W,General
OL14920191W,Fiction - Romance
OL14920191W,collectionid:jprom
OL21692056W,Children's fiction
OL21692056W,nyt:young-adult-hardcover=2020-09-20
OL21692056W,New York Times bestseller
OL21692056W,"Young adult fiction, social themes, class differences"
OL21692056W,"Young adult fiction, romance, contemporary"
OL21692056W,"Young adult fiction, thrillers & suspense, general"
OL21692056W,"Young adult fiction, mysteries & detective stories"
OL4080602W,"Fiction, general"
OL4080602W,romance
OL7990736W,Romance
OL7990736W,Fiction
OL7990736W,Harlequin
OL7990736W,Marriage
OL7990736W,"Fiction, romance, general"
OL7990736W,Large type books
OL1673205W,Detective and mystery stories
OL1673205W,Organized crime
OL1673205W,Criminals
OL1673205W,Italian Americans
OL1673205W,Mafia
OL1673205W,Fiction
OL1673205W,Criminals in fiction
OL1673205W,Drama
OL1673205W,Italian Americans in fiction
OL1673205W,Mafia in fiction
OL1673205W,Organized crime in fiction
OL1673205W,Romance
OL1673205W,Corleone family (Fictitious characters)
OL1673205W,English fiction
OL1673205W,"Crime, fiction"
OL1673205W,"Criminals, fiction"
OL1673205W,"Italian americans, fiction"
OL1673205W,"New york (n.y.), fiction"
OL1673205W,"Fiction, mystery & detective, general"
OL1673205W,Corleone family (Personajes literarios)
OL1673205W,Novela
OL1673205W,Crimen organizado
OL1673205W,German language (Texts)
OL1673205W,Chinese books (Simplified characters)
OL1673205W,Crime
OL3775484W,"Fiction, romance, general"
OL3775484W,"Fiction, Romance, Contemporary"
OL3775484W,"Man-woman relationships, fiction"
OL3775484W,"Bachelors, fiction"
OL3775484W,"Pregnant women, fiction"
OL3775484W,"Passion, fiction"
OL3775484W,"Pregnancy, fiction"
OL5236248W,"Fiction, Romance, Contemporary"
OL5236248W,Fiction in English
OL5236248W,"Love stories, fiction"
OL3467605W,"Fiction, romance, general"
OL4092682W,"Fiction, Romance, Historical"
OL4092682W,English Historical fiction
OL4092682W,Love stories
OL4092682W,"Man-woman relationships, fiction"
OL4092682W,"Fiction, romance"
OL4092682W,"Georgia, fiction"
OL4092682W,"Fiction, religious"
OL4092682W,Marriage
OL4092682W,"Fiction, romance, regency"
OL4092682W,"Fiction, romance, historical, general"
OL4092682W,"Great britain, fiction"
OL4092682W,"Fiction, romance, general"
OL4092682W,History
OL4092682W,Historical fiction
OL4092682W,"Fiction, romance, historical, regency"
OL4092682W,Brothers and sisters
OL4092682W,Social life and customs
OL4092682W,Frères et sœurs
OL4092682W,"Romans, nouvelles"
OL4092682W,Mœurs et coutumes
OL4092682W,Manners and customs
OL4092682W,"Fiction, general"
OL4092682W,Large type books
OL111623W,Vampires
OL111623W,Fiction
OL111623W,Romance
OL111623W,Occult fiction
OL111623W,Time travel
OL111623W,"Love stories, American"
OL111623W,Magic
OL111623W,Demonology
OL111623W,Open Library Staff Picks
OL111623W,Warriors
OL111623W,Fantasy fiction
OL111623W,Wizards
OL111623W,Witches
OL111623W,Fantasy
OL111623W,Suspense
OL111623W,FICTION / Romance / Contemporary
OL111623W,FICTION / Romance / General
OL111623W,Shapeshifting
OL111623W,"Fiction, romance, suspense"
OL111623W,"Vampires, fiction"
OL111623W,"Fiction, occult & supernatural"
OL111623W,"Fiction, fantasy, general"
