edition_key,work_key,title,subtitle,edition_name
OL22426445M,OL11327973W,Substitute Lover,,
OL29107886M,OL15178385W,"Greek Tycoon, Inexperienced Mistress",,
OL26331364M,OL15178385W,"Greek tycoon, inexperienced mistress",,
OL33420087M,OL111457W,Morrigan's Cross,,
OL32226319M,OL111457W,Morrigan's Cross,,
OL27001702M,OL111457W,Morrigan's Cross,,
OL26788313M,OL111457W,Morrigan's Cross (Circle Trilogy),,
OL26781900M,OL111457W,Morrigan's Cross (Circle Trilogy 1),,
OL25886356M,OL111457W,Morrigan's Cross,1 Circle Trilogy,
OL8493811M,OL111457W,"Morrigan's Cross (The Circle Trilogy, Book 1)",,Com/MP3 edition
OL8493812M,OL111457W,"Morrigan's Cross (The Circle Trilogy, Book 1)",,Abridged edition
OL8493809M,OL111457W,"Morrigan's Cross (The Circle Trilogy, Book 1)",,Unabridged edition
OL8875504M,OL111457W,"Morrigan's Cross (The Circle Trilogy, Book 1)",,Lrg edition
OL8493808M,OL111457W,"Morrigan's Cross (The Circle Trilogy, Book 1)",,Unabridged edition
OL8493813M,OL111457W,Morrigan's Cross (Circle Trilogy),,Abridged edition
OL7917174M,OL111457W,Morrigan's Cross (Circle Trilogy),,
OL34823510M,OL1822307W,Lace for Milady,,
OL7566002M,OL1822307W,Lace for Milady,,
OL7779312M,OL1822307W,Lace for Milady,,
OL44167382M,OL3457857W,Roses and Champagne,,
OL29584159M,OL3457857W,Roses and Champagne,,
OL28951081M,OL3457857W,Roses and Champagne,,
OL16521924M,OL3457857W,Roses and Champagne,,
OL35903906M,OL482575W,"Little, Big",,
OL35617092M,OL482575W,"Little, Big","or, The Fairies' Parliament",
OL17396584M,OL3498726W,An unusual affair.,,
OL28974024M,OL3476058W,No Guarantees,,
OL18136219M,OL3476058W,No guarantees,,
OL29578679M,OL13693163W,Virgin for the Billionaire's Taking,,
OL29243016M,OL13693163W,Virgin for the Billionaire's Taking,,
OL29018701M,OL13693163W,Virgin for the Billionaire' Taking,,
OL28683342M,OL13693163W,Amor en la India,,
OL10280668M,OL2959257W,Mistress of Pillatoro,,
OL14982049M,OL2959257W,Mistress of Pillatoro,,
OL14979768M,OL3771308W,The Japanese Screen,,
OL14980364M,OL3771308W,The Japanese screen,,
OL24941233M,OL3771308W,The Japanese Screen,,Harlequin presents ed.
OL9635064M,OL11327973W,Substitute Lover,,
OL17382475M,OL11327207W,A Woman in Love,,
OL14977951M,OL11327207W,A woman in love,,
OL15207975M,OL11327207W,Yn nwfn y galon,addasiad o nofel Saesneg,
OL22284457M,OL11762248W,Out of Nowhere,,Large print ed.
OL9749776M,OL11762248W,Out of Nowhere,,
OL9743572M,OL11762248W,Out of Nowhere,,
OL60769436M,OL15178385W,Marcados Pela Paixão,,
OL44177450M,OL15178385W,"Greek Tycoon, Inexperienced Mistress",,
OL38276884M,OL15178385W,"Greek Tycoon, Inexperienced Mistress",,
OL31939766M,OL15178385W,"Greek Tycoon, Inexperienced Mistress",,
OL29045146M,OL15178385W,"Greek Tycoon, Inexperienced Mistress",,
OL24864732M,OL15178385W,"Greek Tycoon, Inexperienced Mistress",Pregnant Brides,
OL24310213M,OL15178385W,"Greek Tycoon, Inexperienced Mistress",,
OL32923881M,OL111457W,Morrigan's Cross,,
OL32952773M,OL111457W,Morrigan's Cross,,
OL27133464M,OL111457W,Krest Morrigan,,
OL32725386M,OL111457W,Morrigan's Cross,,
OL8493806M,OL111457W,"Morrigan's Cross (The Circle Trilogy, Book 1)",,Unabridged edition
OL7657926M,OL111457W,Morrigan's Cross,,
OL9597107M,OL111457W,"Morrigan's Cross (The Circle Trilogy, Book 1)",,LARGE PRINT edition
OL8137226M,OL111457W,Morrigan's Cross,,Lrg edition
OL23275325M,OL111457W,Morrigan's cross,,
OL20120910M,OL1822307W,Lace for Milady,,Large print ed.
OL4254821M,OL1822307W,Lace for Milady,,
